playtype,result,shot_type,game_date,period,time_remaining,shot_distance
Jump Shot,Made Shot,3PT Field Goal,10/16/18,1,8:53,26
Pullup Jump shot,Missed Shot,2PT Field Goal,10/16/18,1,6:33,19
Jump Shot,Made Shot,2PT Field Goal,10/16/18,2,11:21,5
Jump Shot,Missed Shot,3PT Field Goal,10/16/18,2,9:47,26
Jump Shot,Missed Shot,3PT Field Goal,10/16/18,2,9:33,27
Pullup Jump shot,Missed Shot,2PT Field Goal,10/16/18,2,9:05,16
Step Back Jump shot,Made Shot,2PT Field Goal,10/16/18,2,8:07,20
Layup Shot,Missed Shot,2PT Field Goal,10/16/18,2,6:20,2
Jump Shot,Missed Shot,2PT Field Goal,10/16/18,3,11:24,8
Jump Shot,Missed Shot,2PT Field Goal,10/16/18,3,10:19,10
Turnaround Jump Shot,Missed Shot,2PT Field Goal,10/16/18,3,7:28,11
Fadeaway Jump Shot,Made Shot,2PT Field Goal,10/16/18,3,5:59,11
Pullup Jump shot,Made Shot,2PT Field Goal,10/16/18,4,11:22,23
Driving Layup Shot,Missed Shot,2PT Field Goal,10/16/18,4,10:31,4
Jump Shot,Missed Shot,3PT Field Goal,10/16/18,4,8:53,26
Jump Shot,Missed Shot,3PT Field Goal,10/16/18,4,8:48,27
Jump Shot,Missed Shot,2PT Field Goal,10/16/18,4,8:10,7
Jump Shot,Missed Shot,3PT Field Goal,10/16/18,4,4:50,27
Jump Shot,Missed Shot,3PT Field Goal,10/16/18,4,2:38,26
Jump Shot,Missed Shot,3PT Field Goal,10/16/18,4,2:05,27
Jump Shot,Missed Shot,3PT Field Goal,10/19/18,1,11:34,24
Jump Shot,Missed Shot,2PT Field Goal,10/19/18,1,10:29,15
Pullup Jump shot,Made Shot,2PT Field Goal,10/19/18,1,8:01,19
Jump Shot,Made Shot,2PT Field Goal,10/19/18,1,7:24,21
Jump Shot,Missed Shot,3PT Field Goal,10/19/18,2,11:39,25
Step Back Jump shot,Missed Shot,2PT Field Goal,10/19/18,2,11:08,20
Pullup Jump shot,Missed Shot,2PT Field Goal,10/19/18,3,11:39,20
Step Back Jump shot,Made Shot,2PT Field Goal,10/19/18,3,10:34,12
Step Back Jump shot,Made Shot,2PT Field Goal,10/19/18,3,7:06,15
Jump Shot,Made Shot,2PT Field Goal,10/21/18,1,10:50,19
Pullup Jump shot,Made Shot,2PT Field Goal,10/21/18,1,10:01,19
Pullup Jump shot,Missed Shot,3PT Field Goal,10/21/18,1,7:47,23
Pullup Jump shot,Missed Shot,2PT Field Goal,10/21/18,2,11:10,18
Step Back Jump shot,Missed Shot,2PT Field Goal,10/21/18,2,9:11,20
Jump Shot,Missed Shot,3PT Field Goal,10/21/18,2,8:22,26
Jump Shot,Missed Shot,3PT Field Goal,10/21/18,2,8:11,24
Jump Shot,Missed Shot,3PT Field Goal,10/21/18,2,1:58,24
Turnaround Fadeaway shot,Missed Shot,2PT Field Goal,10/21/18,3,11:19,9
Pullup Jump shot,Made Shot,2PT Field Goal,10/21/18,3,9:49,16
Turnaround Jump Shot,Made Shot,2PT Field Goal,10/21/18,3,8:44,8
Jump Shot,Missed Shot,3PT Field Goal,10/21/18,3,5:55,25
Jump Shot,Made Shot,3PT Field Goal,10/21/18,4,10:45,22
Pullup Jump shot,Missed Shot,2PT Field Goal,10/21/18,4,5:43,22
Cutting Dunk Shot,Made Shot,2PT Field Goal,10/21/18,4,5:09,1
Cutting Layup Shot,Made Shot,2PT Field Goal,10/21/18,4,3:14,1
Jump Shot,Missed Shot,3PT Field Goal,10/22/18,1,10:18,26
Turnaround Jump Shot,Missed Shot,3PT Field Goal,10/22/18,1,9:48,27
Jump Shot,Missed Shot,2PT Field Goal,10/22/18,1,5:50,12
Step Back Jump shot,Made Shot,2PT Field Goal,10/22/18,1,4:49,17
Jump Shot,Missed Shot,3PT Field Goal,10/22/18,1,3:45,25
Turnaround Jump Shot,Made Shot,2PT Field Goal,10/22/18,2,11:14,18
Pullup Jump shot,Made Shot,2PT Field Goal,10/22/18,2,10:37,19
Jump Shot,Made Shot,2PT Field Goal,10/22/18,2,9:46,22
Driving Layup Shot,Made Shot,2PT Field Goal,10/22/18,2,6:11,2
Driving Layup Shot,Missed Shot,2PT Field Goal,10/22/18,2,1:57,2
Jump Shot,Missed Shot,3PT Field Goal,10/22/18,3,10:54,24
Pullup Jump shot,Made Shot,3PT Field Goal,10/22/18,3,10:10,26
